Filename,Meansize(mm)
Run354_Image08344_Crib0660.png,38.09
Run354_Image08344_Crib0661.png,38.66
Run354_Image08345_Crib0662.png,38.07
Run354_Image08345_Crib0663.png,38.79
Run354_Image08346_Crib0664.png,38.21
Run354_Image08346_Crib0665.png,37.45
Run354_Image08347_Crib0667.png,38.00
Run354_Image08348_Crib0669.png,37.47
Run354_Image08349_Crib0670.png,37.62
Run354_Image08349_Crib0671.png,39.06
Run354_Image08350_Crib0672.png,38.76
Run354_Image08350_Crib0673.png,36.94
Run354_Image08351_Crib0674.png,37.07
Run354_Image08351_Crib0675.png,38.95
Run354_Image08352_Crib0676.png,38.78
Run354_Image08352_Crib0677.png,37.52
Run354_Image08353_Crib0678.png,37.99
Run354_Image08353_Crib0679.png,37.40
Run354_Image08354_Crib0680.png,36.31
